filter_rule,num_rules,n_obs_after_filter,retention_ratio,n_oos,r2_1pt,r2_2pt,mse_1pt,mse_2pt,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,p_count_lt_0_1_1pt,p_count_lt_0_1_2pt,all_p_le_0_1_1pt,all_p_le_0_1_2pt,coef_1pt_Kurtosis,p_1pt_Kurtosis,coef_1pt_Median,p_1pt_Median,coef_1pt_Fear and Greed Index,p_1pt_Fear and Greed Index,coef_2pt_Kurtosis,p_2pt_Kurtosis,coef_2pt_Median,p_2pt_Median,coef_2pt_Fear and Greed Index,p_2pt_Fear and Greed Index
VIX <= 34.464000 AND Kurtosis >= 1.270652 AND T-3 Return >= -0.110710,3,164,0.6188679245283019,43,0.04800323902024639,0.047746861599949564,0.007354352245561654,0.007356332808872321,0.027411049495922657,0.027099220392586387,0.0003118291033362697,3,3,True,True,-0.004652955253810308,0.06232727891795696,-5.363339745046149e-07,0.047910229333798356,0.0007427406661265541,0.032339502373200685,-0.004613250786816914,0.06396789370349507,-5.311633101665781e-07,0.04972603960530515,0.0007406636083196372,0.032778941294827904
T-3 Return >= -0.028431 AND Median <= 66247.920000 AND VIX >= 12.714000,3,151,0.569811320754717,31,0.041741925784510636,0.04154302138179522,0.00782924570648856,0.007830870813005127,0.01861252562582627,0.018107455642298764,0.0005050699835275063,3,3,True,True,-0.00410851103714341,0.09402195747975514,-7.85950320379119e-07,0.09306774373002737,0.0007107117813771732,0.06380584928443221,-0.004066271213319967,0.09582312795596476,-7.756894991552149e-07,0.09699339109500878,0.0007075301962153013,0.06480040112213808
T-3 Return >= -0.028431 AND Mean <= 66374.485907 AND VIX >= 12.714000,3,151,0.569811320754717,31,0.041741925784510636,0.04154302138179522,0.00782924570648856,0.007830870813005127,0.01861252562582627,0.018107455642298764,0.0005050699835275063,3,3,True,True,-0.00410851103714341,0.09402195747975514,-7.85950320379119e-07,0.09306774373002737,0.0007107117813771732,0.06380584928443221,-0.004066271213319967,0.09582312795596476,-7.756894991552149e-07,0.09699339109500878,0.0007075301962153013,0.06480040112213808
T-3 Return >= -0.028431 AND Median <= 66247.920000,2,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
T-3 Return >= -0.028431 AND Mean <= 66374.485907,2,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
T-3 Return >= -0.028431 AND Median <= 66247.920000 AND Mean <= 66374.485907,3,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
T-3 Return >= -0.028431 AND Median <= 66247.920000 AND Mean <= 81931.351554,3,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
T-3 Return >= -0.028431 AND Median <= 66247.920000 AND Mean <= 96175.901226,3,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
T-3 Return >= -0.028431 AND Median <= 66247.920000 AND Mean <= 103410.651804,3,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
T-3 Return >= -0.028431 AND Mean <= 66374.485907 AND Median <= 81856.120000,3,157,0.5924528301886792,37,0.04569960122788652,0.045468998893715806,0.007667898371790903,0.007669751284421971,0.011382433004243686,0.011060683508788971,0.0003217494954547151,3,3,True,True,-0.004169567423430929,0.08497190722800929,-8.525112866986165e-07,0.06115715590618244,0.0007473320129478883,0.045586966313543364,-0.004123693129936817,0.08693166755704075,-8.42116391880448e-07,0.06401432711900862,0.0007441831633215176,0.046357170832887526
