Variable,count,mean,std,min,25%,50%,75%,max
T Return,164.0,0.008208372355442762,0.08816223673353436,-0.3515568333095296,-0.02844180922286387,0.00212858482979445,0.04355536079601927,0.3246760764207447
Mean,164.0,44226.51110216571,27945.10673788941,9142.470515387196,23176.85433791216,37312.82541736972,60792.06830784229,116510.23150845084
Std,164.0,3721.0363545732803,2584.7093990565527,486.268471059408,1586.2100848124712,3279.634377381364,5457.420242557364,16962.7989482718
Skewness,164.0,0.0723607877535781,0.7308979389623199,-2.954468402346093,-0.268691299857138,0.11683935175658955,0.4009142277833534,4.412055767316067
Kurtosis,164.0,2.517807015198909,2.8081330403996074,1.2743897800826254,1.528381380857105,1.7941315106787221,2.456052104719025,27.086280176998823
5% Quantile,164.0,38460.19512195122,25155.30033355082,7474.3,20480.850000000002,31661.1,52781.4,107874.8
25% Quantile,164.0,42100.59146341463,26858.3493372616,8706.6,22256.475000000002,35014.5,57576.725,113526.4
Median,164.0,44190.72012195122,27922.236111256974,9153.2,23088.25,36940.35,60729.175,116748.1
75% Quantile,164.0,46306.843902439025,29030.17993926383,9440.2,24173.025,39122.350000000006,63532.25,119742.7
95% Quantile,164.0,50088.82926829269,31018.3320811332,9924.1,26169.025,43327.3,69429.20000000001,124312.3
T-1 Return,164.0,0.011178808120632936,0.08699368318606383,-0.2911410640525768,-0.028578966913886273,0.0062794003031469,0.042626712133520046,0.3246760764207447
T-2 Return,164.0,0.014658117434628607,0.09011980609968272,-0.3515568333095296,-0.023518725021026376,0.0072231619800753495,0.05323694585095435,0.3246760764207447
T-3 Return,164.0,0.02251459519104032,0.07493290542198808,-0.1090818380990078,-0.020771324283653025,0.009503184129005651,0.06608736849213848,0.3246760764207447
T-4 Return,164.0,0.012606141023376906,0.08549288222010565,-0.3515568333095296,-0.026670089809168126,0.007070760712262,0.055506335741469105,0.3246760764207447
Fear and Greed Index,164.0,54.34756097560975,21.760998069009826,10.0,37.0,55.0,73.0,95.0
VIX,164.0,19.91481707317073,5.165124966276492,11.99,16.105,19.125,22.862499999999997,33.09
