horizon,variables,num_vars,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,winner
1d,Std + Skewness + Kurtosis + T-4 Return,4,-0.03762721028029281,-0.03810742086979668,0.0004802105895038711,1pt
1d,Std + Kurtosis + T-2 Return + T-4 Return,4,-0.03900599278835104,-0.039419912356260856,0.0004139195679098151,1pt
1d,Std + Kurtosis + T-4 Return,3,-0.03359430194656099,-0.033991132997852835,0.00039683105129184604,1pt
1d,Std + Kurtosis + Fear and Greed Index + T-4 Return,4,-0.03797348666671008,-0.038345552352468504,0.000372065685758427,1pt
1d,Std + Kurtosis + T-1 Return + T-4 Return,4,-0.03124158839227298,-0.03161328192970014,0.0003716935374271646,1pt
1d,Std + Kurtosis + T-3 Return + T-4 Return,4,-0.037730934142966355,-0.03809255789425925,0.00036162375129289437,1pt
1d,Std + Kurtosis + VIX + T-4 Return,4,-0.03805000627173194,-0.038409103428922675,0.0003590971571907353,1pt
1d,Std + Skewness + Kurtosis + T-2 Return,4,-0.0364631428714135,-0.03677817068704847,0.00031502781563497173,1pt
1d,Std + Skewness + Kurtosis,3,-0.031092362361225145,-0.0314040999017009,0.00031173754047575386,1pt
1d,Std + Skewness + Kurtosis + VIX,4,-0.03546936869486683,-0.03576590666762525,0.000296537972758415,1pt
1d,Std + Skewness + Kurtosis + Fear and Greed Index,4,-0.03542017071034809,-0.03571540111976712,0.0002952304094190339,1pt
1d,Mean + Std + Kurtosis + T-4 Return,4,-0.0667846833829453,-0.06707840722297376,0.0002937238400284592,1pt
1d,Std + Skewness + Kurtosis + T-1 Return,4,-0.02902922276869102,-0.029305393147865955,0.0002761703791749337,1pt
1d,Std + Kurtosis + Median + T-4 Return,4,-0.07416078604689713,-0.07442861573151838,0.0002678296846212458,1pt
1d,Std + Skewness + Kurtosis + T-3 Return,4,-0.03362095415933419,-0.03387256571828878,0.00025161155895458975,1pt
1d,Std + Kurtosis + T-2 Return,3,-0.03256417243246568,-0.032812551812884116,0.00024837938041843977,1pt
1d,Std + Kurtosis,2,-0.027271836000410277,-0.02751676138957726,0.00024492538916698336,1pt
1d,Std + Kurtosis + VIX + T-2 Return,4,-0.036967146864531175,-0.03719567158270043,0.00022852471816925402,1pt
1d,Std + Kurtosis + Fear and Greed Index + T-2 Return,4,-0.037124604963725716,-0.03735293978123155,0.0002283348175058375,1pt
1d,Std + Kurtosis + Fear and Greed Index + VIX,4,-0.03492702004462589,-0.03515351134168232,0.00022649129705643034,1pt
1d,Std + Kurtosis + Fear and Greed Index,3,-0.03171443694200371,-0.03193924642968149,0.00022480948767777953,1pt
1d,Std + Kurtosis + VIX,3,-0.03192652531944229,-0.032146180269399416,0.00021965494995712653,1pt
1d,Std + Kurtosis + T-1 Return,3,-0.02509408836379845,-0.025313560482790765,0.00021947211899231434,1pt
1d,Std + Kurtosis + T-1 Return + T-2 Return,4,-0.030415490392215805,-0.030634592648111525,0.00021910225589572008,1pt
1d,Mean + Std + Skewness + Kurtosis,4,-0.06561251190209294,-0.06582022405448651,0.00020771215239356877,1pt
1d,Mean + Std + Skewness + Median,4,-0.06960431768229358,-0.06980862277627664,0.0002043050939830593,1pt
1d,Std + Kurtosis + Fear and Greed Index + T-1 Return,4,-0.029552792771942338,-0.029754470150315182,0.00020167737837284427,1pt
1d,Std + Kurtosis + VIX + T-1 Return,4,-0.029316962582283335,-0.029507561708729924,0.00019059912644658894,1pt
1d,Skewness + Kurtosis + T-2 Return + T-4 Return,4,-0.01937758636548792,-0.019560048629656546,0.00018246226416862577,1pt
1d,Std + Kurtosis + T-3 Return,3,-0.029662492740714086,-0.02984350992935081,0.0001810171886367229,1pt
1d,Mean + Skewness + Kurtosis + T-4 Return,4,-0.03681800523371903,-0.03699468419315233,0.00017667895943329626,1pt
1d,Mean + Std + Kurtosis + VIX,4,-0.06237780401382609,-0.06255284957910989,0.00017504556528380455,1pt
1d,Skewness + Kurtosis + VIX + T-4 Return,4,-0.01557093660453801,-0.015743197874031445,0.00017226126949343445,1pt
1d,Skewness + Kurtosis + T-4 Return,3,-0.014809955823987808,-0.014980659508103233,0.00017070368411542525,1pt
1d,Mean + Std + Kurtosis,3,-0.061083161069588776,-0.06125098679482455,0.00016782572523577066,1pt
1d,Std + Skewness + Kurtosis + Median,4,-0.07323158997316792,-0.07339765298255885,0.00016606300939092655,1pt
1d,Skewness + Kurtosis + T-1 Return + T-4 Return,4,-0.015161426930728306,-0.015324862585631482,0.0001634356549031768,1pt
1d,Std + Kurtosis + VIX + T-3 Return,4,-0.03414632057360745,-0.034308889753790206,0.0001625691801827589,1pt
1d,Std + Kurtosis + T-2 Return + T-3 Return,4,-0.03587482001093911,-0.03603697020298724,0.0001621501920481272,1pt
1d,Std + Kurtosis + Fear and Greed Index + T-3 Return,4,-0.03384703074009554,-0.03400578299497381,0.00015875225487826938,1pt
1d,Mean + Std + Kurtosis + T-1 Return,4,-0.05624978360164956,-0.056400538474487893,0.00015075487283833233,1pt
1d,Skewness + Kurtosis + Fear and Greed Index + T-4 Return,4,-0.0197082586062427,-0.019858552192366208,0.00015029358612350663,1pt
1d,Mean + Std + Kurtosis + T-2 Return,4,-0.06651228034146772,-0.06666100317685308,0.00014872283538536202,1pt
1d,Std + Kurtosis + T-1 Return + T-3 Return,4,-0.027506515338489024,-0.02765513585640722,0.00014862051791819653,1pt
1d,Skewness + Kurtosis + Median + T-4 Return,4,-0.037312299524113746,-0.03745736795800081,0.00014506843388706336,1pt
1d,Std + Kurtosis + Median,3,-0.06820505212802441,-0.068348255086492,0.000143202958467592,1pt
1d,Kurtosis + T-2 Return + T-4 Return,3,-0.015876344019700506,-0.016014853376509652,0.00013850935680914667,1pt
1d,Kurtosis + T-1 Return + T-2 Return + T-4 Return,4,-0.016227618713552605,-0.016366085366273042,0.000138466652720437,1pt
1d,Mean + Kurtosis + VIX + T-4 Return,4,-0.03502358854241128,-0.0351609177054959,0.00013732916308462073,1pt
1d,Mean + Skewness + Kurtosis + VIX,4,-0.03294191848375583,-0.033072786400691,0.0001308679169351734,1pt
1d,Kurtosis + VIX + T-2 Return + T-4 Return,4,-0.01664833498147278,-0.016777907236647627,0.00012957225517484794,1pt
1d,Std + Kurtosis + Median + T-1 Return,4,-0.06285104475980541,-0.06297970638693018,0.00012866162712477092,1pt
1d,Kurtosis + T-1 Return + T-4 Return,3,-0.011474815816046702,-0.01160327971596442,0.000128463899917719,1pt
1d,Std + Kurtosis + Median + T-2 Return,4,-0.07365005915832956,-0.07377774039165774,0.0001276812333281807,1pt
1d,Kurtosis + T-4 Return,2,-0.011432770305239925,-0.01155993395902044,0.00012716365378051542,1pt
1d,Std + Kurtosis + Median + VIX,4,-0.06818142364396684,-0.06830719642840388,0.00012577278443703932,1pt
1d,Mean + Kurtosis + T-2 Return + T-4 Return,4,-0.03854407240278679,-0.038666808550461784,0.00012273614767499552,1pt
1d,Mean + Std + Median + T-4 Return,4,-0.07357235088883174,-0.07369420544627725,0.00012185455744551099,1pt
1d,Mean + Kurtosis + T-4 Return,3,-0.03365858590465742,-0.033778039341950894,0.0001194534372934708,1pt
1d,Mean + Skewness + Kurtosis + T-2 Return,4,-0.036755768449370896,-0.03687470775765367,0.00011893930828277277,1pt
1d,Skewness + Kurtosis + VIX + T-2 Return,4,-0.014692691340763009,-0.014810940012131457,0.0001182486713684483,1pt
1d,Kurtosis + Fear and Greed Index + T-2 Return + T-4 Return,4,-0.020831964444461226,-0.02094970102181848,0.00011773657735725251,1pt
1d,Kurtosis + VIX + T-4 Return,3,-0.012436234585791128,-0.012552907417557435,0.00011667283176630683,1pt
1d,Mean + Skewness + Kurtosis,3,-0.03168023860034164,-0.031796255906268334,0.00011601730592669668,1pt
1d,Kurtosis + Fear and Greed Index + VIX + T-4 Return,4,-0.01669978074299938,-0.016814484528039797,0.00011470378504041534,1pt
1d,Kurtosis + VIX + T-1 Return + T-4 Return,4,-0.012412751845162218,-0.01252577941582067,0.0001130275706584527,1pt
1d,Skewness + Kurtosis + T-2 Return,3,-0.013917698192330352,-0.01402788536978905,0.00011018717745869822,1pt
1d,Skewness + Kurtosis + VIX,3,-0.010479118349328242,-0.010588463875983667,0.00010934552665542441,1pt
1d,Skewness + Kurtosis + Fear and Greed Index + VIX,4,-0.014521289535154303,-0.014630237212019725,0.00010894767686542295,1pt
1d,Mean + Kurtosis + T-1 Return + T-4 Return,4,-0.03238783396129197,-0.03249577171194917,0.00010793775065720546,1pt
1d,Kurtosis + Fear and Greed Index + T-4 Return,3,-0.01643654610504952,-0.01654385418659654,0.00010730808154701954,1pt
1d,Kurtosis + Fear and Greed Index + T-1 Return + T-4 Return,4,-0.01621355018709858,-0.016320197537941006,0.00010664735084242594,1pt
1d,Mean + Skewness + Kurtosis + T-1 Return,4,-0.030809902022768787,-0.030915775769404297,0.00010587374663550975,1pt
1d,Skewness + Kurtosis,2,-0.009515133859798741,-0.009619083350919322,0.00010394949112058072,1pt
1d,Kurtosis + Median + T-2 Return + T-4 Return,4,-0.03873939237353663,-0.038841592580041606,0.00010220020650497652,1pt
1d,Skewness + Kurtosis + Median + T-2 Return,4,-0.03691319015520578,-0.037014739106732364,0.0001015489515265866,1pt
1d,Skewness + Kurtosis + T-3 Return + T-4 Return,4,-0.01769307689951871,-0.017793981481555532,0.0001009045820368204,1pt
1d,Mean + Std + Median + T-1 Return,4,-0.06856702009208204,-0.06866482761869963,9.780752661758818e-05,1pt
1d,Skewness + Kurtosis + Fear and Greed Index + T-2 Return,4,-0.01895858023831054,-0.019056206372962237,9.7626134651696e-05,1pt
1d,Skewness + Kurtosis + VIX + T-1 Return,4,-0.010848165414849564,-0.010943647102501952,9.548168765238785e-05,1pt
1d,Mean + Std + Kurtosis + T-3 Return,4,-0.06465202703606465,-0.06474746281090771,9.543577484305565e-05,1pt
1d,Skewness + Kurtosis + T-1 Return,3,-0.009935807070282188,-0.010027018495791573,9.121142550938544e-05,1pt
